web_age_grp,Another sex/gender,Men,Transgender men,Transgender women,Women
0 to 5,0,24,0,0,11
6 to 10,1,5,0,0,5
11 to 15,0,11,0,0,5
16 to 20,7,572,6,8,64
21 to 25,31,2737,18,37,159
26 to 30,44,5337,16,47,161
31 to 35,50,6526,11,73,138
36 to 40,33,4708,9,31,103
41 to 45,21,3269,6,24,72
46 to 50,12,2090,3,16,54
51 to 55,7,1482,2,6,42
56 to 60,0,815,0,3,19
61 to 65,1,297,0,0,9
66 to 70,0,104,0,0,5
71 to 75,0,34,0,1,1
76+ years,0,5,0,0,4
